symbol,isin,trade_date,exchange,segment,series,trade_type,quantity,price,trade_id,order_id,order_execution_time
TCS,INE467B01029,2021-02-12,NSE,EQ,EQ,buy,1.000000,3193.900000,75021847,1300000000214068,2021-02-12T09:15:02
ITC,INE154A01025,2021-02-12,NSE,EQ,EQ,buy,5.000000,218.100000,27844066,1100000008621096,2021-02-12T12:14:08
TCS,INE467B01029,2021-02-16,NSE,EQ,EQ,buy,1.000000,3135.000000,77499748,1300000009028040,2021-02-16T11:26:04
INFY,INE467B01029,2021-02-16,NSE,EQ,EQ,buy,1.000000,1230.000000,77499749,1300000009028040,2021-02-16T11:26:04
INFY,INE467B01029,2021-02-16,NSE,EQ,EQ,buy,1.000000,1305.000000,77499751,1300000009028040,2021-02-16T11:26:04
AMARAJABAT,INE885A01032,2021-02-22,NSE,EQ,EQ,buy,1.000000,898.000000,4366801,1000000019494818,2021-02-22T14:37:07
SONATSOFTW,INE269A01021,2021-02-23,NSE,EQ,EQ,buy,1.000000,486.100000,75008785,1300000000023199,2021-02-23T09:07:45
TATAPOWER,INE245A01021,2021-02-23,NSE,EQ,EQ,buy,2.000000,91.000000,75190651,1300000000029612,2021-02-23T09:17:37
VEDL,INE205A01025,2021-02-23,NSE,EQ,EQ,buy,1.000000,207.000000,80752917,1300000019523009,2021-02-23T15:00:55
FIEMIND,INE737H01014,2021-02-24,NSE,EQ,EQ,buy,1.000000,548.800000,25071636,1100000000298636,2021-02-24T09:15:44
SALZERELEC,INE457F01013,2021-02-25,NSE,EQ,EQ,buy,2.000000,117.300000,76114792,1300000003899187,2021-02-25T09:57:21
HCLTECH,INE860A01027,2021-02-25,NSE,EQ,EQ,buy,1.000000,931.300000,27283924,1100000006554009,2021-02-25T10:48:51
CROMPTON,INE299U01018,2021-02-25,NSE,EQ,EQ,buy,1.000000,386.700000,2324010,1020000008185126,2021-02-25T11:05:42
OLECTRA,INE260D01016,2021-02-25,NSE,EQ,EQ,buy,2.000000,183.750000,51936456,1200000007151023,2021-02-25T11:06:42
SUNTV,INE424H01027,2021-02-25,NSE,EQ,EQ,buy,1.000000,514.500000,78270949,1300000011298382,2021-02-25T12:20:20
HINDALCO,INE038A01020,2021-02-25,NSE,EQ,EQ,buy,1.000000,347.000000,29339036,1100000012831155,2021-02-25T13:18:55
POWERGRID,INE752E01010,2021-02-26,NSE,EQ,EQ,buy,2.000000,225.050000,51467304,1200000005789337,2021-02-26T10:19:51
JSWSTEEL,INE019A01038,2021-02-26,NSE,EQ,EQ,buy,1.000000,415.300000,51516538,1200000005966458,2021-02-26T10:22:16
HSCL,INE019C01026,2021-02-26,NSE,EQ,EQ,buy,10.000000,53.000000,26981454,1100000006826294,2021-02-26T10:28:24
TATAPOWER,INE245A01021,2021-02-26,NSE,EQ,EQ,buy,10.000000,95.000000,77392033,1300000004964098,2021-02-26T10:34:43
RAILTEL,INE0DD101019,2021-02-26,NSE,EQ,EQ,buy,10.000000,121.600000,77406359,1300000007968830,2021-02-26T10:35:07
NTPC,INE733E01010,2021-02-26,NSE,EQ,EQ,buy,5.000000,107.000000,52366156,1200000006573411,2021-02-26T11:27:07
JSWENERGY,INE121E01018,2021-02-26,NSE,EQ,EQ,buy,10.000000,72.000000,52461010,1200000006035293,2021-02-26T11:33:33
INDUSINDBK,INE095A01012,2021-02-26,NSE,EQ,EQ,buy,1.000000,1059.550000,28823177,1100000013833887,2021-02-26T12:22:04
HSCL,INE019C01026,2021-02-26,NSE,EQ,EQ,buy,10.000000,50.000000,32236692,1100000003856675,2021-02-26T15:21:40
HDFCBANK,INE040A01034,2021-03-01,NSE,EQ,EQ,buy,1.000000,1564.000000,25003950,1100000000050457,2021-03-01T09:07:03
TATAMOTORS,INE155A01022,2021-03-01,NSE,EQ,EQ,buy,1.000000,326.750000,76149446,1300000004193897,2021-03-01T09:52:32
BHARTIARTL,INE397D01024,2021-03-01,NSE,EQ,EQ,buy,1.000000,544.000000,1216715,1000000005535513,2021-03-01T10:07:31
HDFCLIFE,INE795G01014,2021-03-01,NSE,EQ,EQ,buy,1.000000,708.000000,26307573,1100000004835806,2021-03-01T10:09:44
TATACOFFEE,INE493A01027,2021-03-01,NSE,EQ,EQ,buy,1.000000,134.350000,76490988,1300000005564783,2021-03-01T10:13:32
MOTHERSUMI,INE775A01035,2021-03-01,NSE,EQ,EQ,buy,3.000000,224.000000,51282832,1200000004967391,2021-03-01T10:17:51
TATACOFFEE,INE493A01027,2021-03-01,NSE,EQ,EQ,buy,1.000000,133.000000,76641442,1300000005423248,2021-03-01T10:22:52
RAILTEL,INE0DD101019,2021-03-01,NSE,EQ,EQ,buy,10.000000,145.600000,77295989,1300000008285544,2021-03-01T11:02:59
RAILTEL,INE0DD101019,2021-03-01,NSE,EQ,EQ,buy,10.000000,144.000000,78197668,1300000011548247,2021-03-01T12:09:16
TATACOFFEE,INE493A01027,2021-03-01,NSE,EQ,EQ,buy,1.000000,130.000000,78608930,1300000012570059,2021-03-01T12:44:38
POWERGRID,INE752E01010,2021-03-01,BSE,EQ,A,sell,2.000000,225.100000,41125600,1614571242641552386,2021-03-01T13:00:33
RAILTEL,INE0DD101019,2021-03-02,NSE,EQ,EQ,buy,30.000000,166.600000,76424593,1300000004572543,2021-03-02T10:00:57
IBREALEST,INE069I01010,2021-03-02,NSE,EQ,EQ,buy,10.000000,99.700000,27132779,1100000006898482,2021-03-02T10:49:28
SONATSOFTW,INE269A01021,2021-03-02,BSE,EQ,A,sell,1.000000,491.000000,7503500,1614655800011310031,2021-03-02T11:13:25
INFY,INE009A01021,2021-03-02,NSE,EQ,EQ,buy,1.000000,1308.400000,30557566,1100000018142259,2021-03-02T15:22:24
BHARTIARTL,INE397D01024,2021-03-03,BSE,EQ,A,buy,1.000000,544.000000,296800,1614742200031021414,2021-03-03T09:17:04
